key1,key2,value,label
n3,segment5,0.08959156785243738,strong
n3,segment2,0.08695652173913049,strong
n1,segment5,0.08369408369408371,strong
n3,segment1,0.08168642951251648,strong
n1,segment2,0.07647907647907648,strong
n3,segment3,0.07509881422924902,strong
n3,segment4,0.06851119894598157,strong
n3,segment6,0.06587615283267456,strong
n1,segment1,0.06493506493506496,strong
n1,segment3,0.06349206349206349,strong
n1,segment6,0.06349206349206349,strong
n1,segment7,0.0548340548340549,strong
n1,segment4,0.053391053391053434,strong
n3,segment9,0.0487483530961792,strong
n1,segment9,0.044733044733044736,strong
n3,segment7,0.04216073781291163,strong
n3,segment8,0.03820816864295129,strong
n1,segment10,0.037518037518037506,strong
n1,segment8,0.03463203463203457,strong
n5,segment2,0.03403141361256545,strong
n2,segment7,0.027283511269276417,neutral
n5,segment7,0.023560209424083767,neutral
n5,segment9,0.023560209424083767,neutral
n6,segment7,0.022648083623693305,neutral
n3,segment10,0.022397891963109373,neutral
n5,segment1,0.020942408376963373,neutral
n5,segment5,0.020942408376963373,neutral
n5,segment3,0.01832460732984298,neutral
n5,segment10,0.018324607329842868,neutral
n4,segment1,0.017587939698492483,neutral
n5,segment6,0.015706806282722474,neutral
n6,segment3,0.013937282229965153,neutral
n4,segment10,0.013819095477386911,neutral
n5,segment8,0.01308900523560208,neutral
n4,segment7,0.012562814070351758,neutral
n6,segment1,0.012195121951219523,neutral
n2,segment3,0.011862396204033177,neutral
n4,segment9,0.011306532663316604,neutral
n2,segment1,0.010676156583629859,neutral
n5,segment4,0.010471204188481686,neutral
n6,segment6,0.010452961672473893,weak
n4,segment5,0.008793969849246186,weak
n4,segment2,0.008793969849246186,weak
n6,segment5,0.008710801393728262,weak
n6,segment8,0.008710801393728262,weak
n2,segment6,0.008303677342823224,weak
n2,segment2,0.008303677342823224,weak
n4,segment6,0.007537688442211032,weak
n2,segment4,0.005931198102016588,weak
n2,segment8,0.004744958481613271,weak
n2,segment5,0.004744958481613271,weak
n4,segment3,0.0037688442211055717,weak
n6,segment10,0.0034843205574913716,weak
n6,segment9,0.0034843205574912606,weak
n4,segment8,0.002512562814070418,weak
n2,segment9,0.0023724792408066353,weak
n6,segment4,0.0017421602787457413,weak
n6,segment2,-0.0017421602787456303,weak
n4,segment4,-0.005025125628140614,weak
n2,segment10,-0.013048635824436494,weak
