key1,key2,value,label
n3,segment4,0.09201388888888895,strong
n3,segment1,0.07118055555555558,strong
n5,segment2,0.06865671641791049,strong
n5,segment5,0.06567164179104479,strong
n3,segment3,0.06076388888888895,strong
n3,segment9,0.06076388888888884,strong
n3,segment10,0.05902777777777779,strong
n3,segment5,0.05815972222222221,strong
n5,segment4,0.05671641791044779,strong
n2,segment1,0.053268765133171914,strong
n1,segment9,0.053268765133171914,strong
n3,segment6,0.05208333333333337,strong
n5,segment9,0.0507462686567165,strong
n1,segment10,0.04358353510895885,strong
n3,segment7,0.04253472222222221,strong
n3,segment2,0.0390625,strong
n5,segment7,0.03880597014925369,strong
n2,segment9,0.036319612590798966,strong
n1,segment2,0.036319612590798966,strong
n1,segment1,0.036319612590798966,strong
n2,segment6,0.03389830508474567,neutral
n5,segment10,0.032835820895522394,neutral
n5,segment1,0.032835820895522394,neutral
n4,segment2,0.026936026936026924,neutral
n4,segment1,0.026936026936026924,neutral
n1,segment8,0.026634382566586012,neutral
n1,segment6,0.02421307506053272,neutral
n1,segment5,0.02421307506053272,neutral
n5,segment8,0.023880597014925287,neutral
n4,segment10,0.023569023569023573,neutral
n5,segment3,0.020895522388059695,neutral
n6,segment4,0.018927444794952675,neutral
n3,segment8,0.01822916666666663,neutral
n4,segment3,0.01683501683501687,neutral
n4,segment4,0.01683501683501676,neutral
n6,segment5,0.01577287066246058,neutral
n6,segment2,0.01577287066246058,neutral
n1,segment7,0.014527845036319653,neutral
n2,segment5,0.014527845036319653,neutral
n1,segment3,0.014527845036319542,neutral
n6,segment6,0.012618296529968376,weak
n2,segment10,0.01210653753026636,weak
n2,segment7,0.012106537530266248,weak
n5,segment6,0.011940298507462699,weak
n4,segment7,0.010101010101010055,weak
n1,segment4,0.009685230024213065,weak
n4,segment6,0.006734006734006703,weak
n6,segment10,0.006309148264984188,weak
n4,segment5,0.0033670033670033517,weak
n2,segment8,0.002421307506053294,weak
n2,segment2,0.002421307506053294,weak
n2,segment4,0.0,weak
n2,segment3,-0.002421307506053294,weak
n6,segment9,-0.003154574132492094,weak
n6,segment1,-0.003154574132492205,weak
n6,segment3,-0.006309148264984188,weak
n6,segment8,-0.009463722397476282,weak
n4,segment8,-0.010101010101010166,weak
n6,segment7,-0.018927444794952675,weak
n4,segment9,-0.026936026936026924,weak
